geography code, Mean Age,Population,Total Cars,Average Distance,Total distance (km)
E06000005,40.2,105564,49794,15.7,653156.6
E06000047,41,513242,248586,17.4,3340279.1
E06000001,39.8,92028,38269,15.9,510743.3
E06000002,37.8,138412,51821,14,647126
E06000057,42.8,316028,168974,21.4,2543379.8
E06000003,41.5,135177,64747,17.2,808646.6
E06000004,39.1,191610,91623,15.9,1176853
E08000037,40.5,200214,80359,14,1116305.3
E08000021,36.9,280177,96163,15.3,1566867.1
E08000022,40.9,200801,88497,15.5,1277122.1
E08000023,41.2,148127,58301,16.1,887100.1
E08000024,40.4,275506,112999,14.7,1546183.9
E06000008,36.2,147489,58447,12.5,644785.8
E06000009,41.3,142065,57390,11.4,571627.6
E06000049,42,370127,224179,16.5,2391342.2
E06000050,41.3,329608,188557,17.4,2297378.4
E06000006,38.9,125746,59007,14.5,729884.2
E06000007,39.5,202228,110349,15,1272896.6
E10000006,42.9,499858,273534,16.2,3165636.4
E08000001,38.4,276786,124847,13,1356332.2
E08000002,39.2,185060,90387,13.3,987293.5
E08000003,33.2,503127,150722,12.4,2234478.5
E08000004,37.4,224897,90773,11.4,927093
E08000005,37.9,211699,88871,12.3,943287.7
E08000006,37.4,233933,91679,12.5,1135697.7
E08000007,40.8,283275,149190,12.4,1408370.6
E08000008,39.1,219324,97736,11.4,987444
E08000009,39.3,226578,115300,12.9,1186307.2
E08000010,39.6,317849,156848,13.8,1755520.9
E10000017,40.5,1171339,599618,14.3,6467399.2
E08000011,39.1,145893,55152,13.9,742355.7
E08000012,37.7,466415,150781,13.1,2219401.2
E08000014,42.5,273790,126540,15.6,1595441
E08000013,40.7,175308,84445,14.2,962756.4
E08000015,41.4,319783,152252,14.8,1747654.5
E06000011,43.5,334179,190419,18.3,2345745.7
E06000010,37.5,256406,90240,11.4,1107323.6
E06000012,40.2,159616,70625,13.2,800659.5
E06000013,40.8,167446,89482,16.9,1113887.1
E06000014,39.5,198051,90126,15.8,1315177.8
E10000023,42.8,598376,345907,19.2,4451016.6
E08000016,40.4,231221,112010,14.8,1291115.2
E08000017,39.8,302402,137706,16,1786109
E08000018,40.2,257280,123783,14.3,1393038.1
E08000019,37.9,552698,224039,14,2895284.3
E08000032,36.2,522452,205224,12.7,2333165.5
E08000033,39.6,203826,97298,12.2,980143.9
E08000034,38.4,422458,195565,12.7,2050413.4
E08000035,37.6,751485,323030,13.2,3980077.1
E08000036,40.2,325837,155844,13.5,1755099.6
E06000015,37.6,248752,108124,12.6,1227184.6
E06000016,34.8,329839,110395,10.7,1281186.8
E06000018,34.8,305680,96284,13.6,1428854.1
E06000017,42.4,37369,22542,20.6,284005.2
E10000007,41.6,769686,429770,15.2,4650318.1
E10000018,40.8,650489,380884,15.1,4004379.4
E10000019,42.5,713653,402731,17.9,4816917.4
E10000021,39.1,691952,386622,16.5,4749242.6
E10000024,41.1,785802,419187,15.8,4896794.6
E06000019,43,183477,111829,16.7,1118280.6
E06000051,42.6,306129,184779,18.7,2166748.1
