geography,geography code,Rural Urban,Cars: No cars or vans in household; measures: Value,Cars: 1 car or van in household; measures: Value,Cars: 2 cars or vans in household; measures: Value,Cars: 3 cars or vans in household; measures: Value,Cars: 4 or more cars or vans in household; measures: Value,Distance travelled to work: Less than 2km; measures: Value,Distance travelled to work: 2km to less than 5km; measures: Value,Distance travelled to work: 5km to less than 10km; measures: Value,Distance travelled to work: 10km to less than 20km; measures: Value,Distance travelled to work: 20km to less than 30km; measures: Value,Distance travelled to work: 30km to less than 40km; measures: Value,Distance travelled to work: 40km to less than 60km; measures: Value,Distance travelled to work: 60km and over; measures: Value,Distance travelled to work: Work mainly at or from home; measures: Value,Distance travelled to work: Other; measures: Value,Economic Activity: Economically active: Employee: Part-time; measures: Value,Economic Activity: Economically active: Employee: Full-time; measures: Value,Economic Activity: Economically active: Self-employed with employees: Part-time; measures: Value,Economic Activity: Economically active: Self-employed with employees: Full-time; measures: Value,Economic Activity: Economically active: Self-employed without employees: Part-time; measures: Value,Economic Activity: Economically active: Self-employed without employees: Full-time; measures: Value,Economic Activity: Economically active: Unemployed; measures: Value,Economic Activity: Economically active: Full-time student; measures: Value,Economic Activity: Economically inactive: Retired; measures: Value,Economic Activity: Economically inactive: Student (including full-time students); measures: Value,Economic Activity: Economically inactive: Looking after home or family; measures: Value,Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value,Economic Activity: Economically inactive: Other; measures: Value,Age: Age 0 to 4; measures: Value,Age: Age 5 to 7; measures: Value,Age: Age 8 to 9; measures: Value,Age: Age 10 to 14; measures: Value,Age: Age 15; measures: Value,Age: Age 16 to 17; measures: Value,Age: Age 18 to 19; measures: Value,Age: Age 20 to 24; measures: Value,Age: Age 25 to 29; measures: Value,Age: Age 30 to 44; measures: Value,Age: Age 45 to 59; measures: Value,Age: Age 60 to 64; measures: Value,Age: Age 65 to 74; measures: Value,Age: Age 75 to 84; measures: Value,Age: Age 85 to 89; measures: Value,Age: Age 90 and over; measures: Value,No Cars and Vans,1 Car or Van,"(2, 3, 4) Car or Van",Young 0-19,Working-age 20-64,Retired-age 65-90,Distance (Work from home),Distance < 10 km,10 km < Distance < 30 km,30 km < Distanc < 60 km,Unemployed,Economically active,Economically Inactive,cluster,P1,P2
Darlington,E06000005,Total,13052,20682,10450,1962,524,11433,12516,4226,5552,4410,793,1234,1502,4180,3168,11555,30337,234,1254,1289,2818,4002,1954,12214,2742,3081,3737,1418,6579,3790,2284,6224,1330,2721,2357,6071,6607,20917,21560,6685,9717,6172,1740,810,13052,20682,12936,25285,61840,18439,4180,28175,9962,3529,4002,49441,23192,3,8.120296,-2.323253
County Durham,E06000047,Total,60926,96086,52740,10775,3276,36588,31877,38010,51191,19810,6846,2222,5704,20652,14994,50595,143922,1052,5717,5799,12741,17013,10262,65444,23837,14190,24887,8337,28574,15818,9841,27869,5882,12107,15278,35155,30628,96150,108200,35395,50883,30635,7321,3506,60926,96086,66791,115369,305528,92345,20652,106475,71001,14772,17013,230088,136695,0,8.916958,-3.2047913
Hartlepool,E06000001,Total,14268,16573,7662,1535,396,8452,10557,3406,5707,1684,681,489,1154,2473,3164,10092,22635,212,846,892,1855,5194,1787,10621,3042,3265,4733,1630,5698,3202,1990,5653,1257,2570,2451,5955,5622,16869,19326,5837,8174,5568,1323,533,14268,16573,9593,22821,53609,15598,2473,22415,7391,2324,5194,38319,23291,0,9.16212,-4.377292
Middlesbrough,E06000002,Total,21488,22963,10207,1945,600,10393,15799,11414,4137,1281,642,848,1733,3337,4963,15063,31301,300,1068,1331,2472,7631,4416,13922,7453,5569,6841,3184,9431,5178,3098,8485,1811,3747,4506,11690,9765,25414,27065,7531,10833,7393,1658,807,21488,22963,12752,36256,81465,20691,3337,37606,5418,3223,7631,55951,36969,0,9.813269,-5.7814884
Northumberland,E06000057,Total,30543,60875,36916,7671,2529,25944,14491,19568,30255,12969,5666,4162,5593,17894,10359,34368,86380,993,5351,5151,10568,10329,5128,43897,8108,8368,10321,4262,16003,9863,6482,17677,3841,7631,6992,16224,16187,56156,71135,24533,34366,21018,5233,2687,30543,60875,47116,68489,184235,63304,17894,60003,43224,15421,10329,147939,74956,1,6.8434033,-0.30923986
Redcar and Cleveland,E06000003,Total,16935,25367,13646,2832,825,8750,8270,11667,12544,1988,956,1050,1888,4034,5207,15322,33372,285,1235,1436,2908,6533,2439,19206,4142,4361,5869,2069,7553,4362,2736,7803,1712,3608,3515,8092,7628,24120,28285,9511,14418,8721,2133,980,16935,25367,17303,31289,77636,26252,4034,28687,14532,3894,6533,56997,35647,0,8.896294,-3.6942897
Stockton-on-Tees,E06000004,Total,20524,32728,20487,4222,1198,13975,19480,20574,11715,2257,1232,1730,2827,6376,6956,22070,52927,410,2017,2119,4395,8075,4246,20767,7277,5911,6861,3579,12322,6824,4149,11457,2355,5168,5296,12651,12602,37535,39652,11648,16102,10368,2429,1052,20524,32728,25907,47571,114088,29951,6376,54029,13972,5789,8075,88184,44395,0,8.969339,-4.178253
Gateshead,E08000037,Total,32551,37214,16016,2682,691,14252,22692,22674,14411,2431,509,771,2135,6383,5619,21023,58988,351,1887,2059,4509,7419,3948,23531,6832,5670,8844,3018,11869,6323,3987,10880,2439,4778,4953,12104,14059,40466,40515,12596,18608,12412,2897,1328,32551,37214,19389,45229,119740,35245,6383,59618,16842,3415,7419,92765,47895,0,9.279777,-3.8968825
Newcastle upon Tyne,E08000021,Total,48853,45938,18277,3178,907,21999,33608,26977,10924,3161,656,1255,3691,8430,8634,25835,69811,675,3017,3204,6236,10652,14418,24571,29253,8868,11509,4815,16522,8534,5501,14488,2929,6156,13311,36012,22948,51972,48952,14133,19380,13857,3578,1904,48853,45938,22362,67441,174017,38719,8430,82584,14085,5602,10652,123196,79016,2,9.984666,-6.596572
North Tyneside,E08000022,Total,28865,40879,18030,2877,644,16314,21840,21618,16995,1658,467,806,2639,6997,6692,21815,61349,354,2074,2274,4933,7304,4139,23497,5310,5048,7354,2438,11732,6577,4076,10921,2407,4631,4421,10908,12411,41644,42719,13059,18096,12487,3155,1557,28865,40879,21551,44765,120741,35295,6997,59772,18653,3912,7304,96938,43647,0,9.192825,-3.85222
