,Unnamed: 0,geography code_x,geography,Young 0-19,Working-age 20-64,Retired-age 65-90,0--19,20--64,65--,cluster_x,cluster_y
0,0,E06000005,Darlington,25285,61840,18439,24238,61524,22045,3,3
1,1,E06000047,County Durham,115369,305528,92345,113839,296886,111337,0,0
2,2,E06000001,Hartlepool,22821,53609,15598,21665,52437,18232,0,0
3,3,E06000002,Middlesbrough,36256,81465,20691,36759,82985,24178,0,0
4,4,E06000057,Northumberland,68489,184235,63304,64008,175008,81549,1,1
5,5,E06000003,Redcar and Cleveland,31289,77636,26252,29805,74982,31749,0,0
6,6,E06000004,Stockton-on-Tees,47571,114088,29951,46800,112611,37183,0,0
7,7,E08000037,Gateshead,45229,119740,35245,42426,113946,39772,0,0
8,8,E08000021,Newcastle upon Tyne,67441,174017,38719,72115,183498,44518,2,2
9,9,E08000022,North Tyneside,44765,120741,35295,45453,120609,42890,0,0
10,10,E08000023,South Tyneside,33459,87815,26853,32403,84536,30838,0,0
11,11,E08000024,Sunderland,62653,166060,46793,59765,158141,56260,0,0
12,12,E06000008,Blackburn with Darwen,42296,86132,19061,43804,88531,22400,0,0
13,13,E06000009,Blackpool,32354,82472,27239,30521,81321,29191,0,0
14,14,E06000049,Cheshire East,83400,215355,71372,84606,224940,89225,3,3
15,15,E06000050,Cheshire West and Chester,74335,194173,61100,76546,204858,75746,3,3
16,16,E06000006,Halton,31396,75869,18481,30061,74454,23960,0,0
17,17,E06000007,Warrington,48667,121347,32214,46940,123872,40157,3,3
18,18,E10000006,Cumbria,107300,289669,102889,99246,279078,121524,1,1
19,19,E08000001,Bolton,71358,162888,42540,78028,167212,50721,0,0
20,20,E08000002,Bury,46249,109271,29540,47731,110673,35447,0,0
21,21,E08000003,Manchester,130117,325466,47544,149702,350073,52168,2,2
22,22,E08000004,Oldham,62306,129638,32953,67772,135701,38608,0,0
23,23,E08000005,Rochdale,56252,124631,30816,59302,127606,36867,0,0
24,24,E08000006,Salford,57338,143389,33206,65524,168481,35922,2,2
25,25,E08000007,Stockport,66784,165464,51027,67322,168179,59275,0,0
