"date","geography","geography code","Rural Urban","Age: All usual residents; measures: Value","Age: Age 0 to 4; measures: Value","Age: Age 5 to 7; measures: Value","Age: Age 8 to 9; measures: Value","Age: Age 10 to 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16 to 17; measures: Value","Age: Age 18 to 19; measures: Value","Age: Age 20 to 24; measures: Value","Age: Age 25 to 29; measures: Value","Age: Age 30 to 44; measures: Value","Age: Age 45 to 59; measures: Value","Age: Age 60 to 64; measures: Value","Age: Age 65 to 74; measures: Value","Age: Age 75 to 84; measures: Value","Age: Age 85 to 89; measures: Value","Age: Age 90 and over; measures: Value","Age: Mean Age; measures: Value","Age: Median Age; measures: Value"
"2011","Darlington","E06000005","Total",105564,6579,3790,2284,6224,1330,2721,2357,6071,6607,20917,21560,6685,9717,6172,1740,810,40.2,41.0
"2011","County Durham","E06000047","Total",513242,28574,15818,9841,27869,5882,12107,15278,35155,30628,96150,108200,35395,50883,30635,7321,3506,41.0,42.0
"2011","Hartlepool","E06000001","Total",92028,5698,3202,1990,5653,1257,2570,2451,5955,5622,16869,19326,5837,8174,5568,1323,533,39.8,40.0
"2011","Middlesbrough","E06000002","Total",138412,9431,5178,3098,8485,1811,3747,4506,11690,9765,25414,27065,7531,10833,7393,1658,807,37.8,37.0
"2011","Northumberland","E06000057","Total",316028,16003,9863,6482,17677,3841,7631,6992,16224,16187,56156,71135,24533,34366,21018,5233,2687,42.8,45.0
"2011","Redcar and Cleveland","E06000003","Total",135177,7553,4362,2736,7803,1712,3608,3515,8092,7628,24120,28285,9511,14418,8721,2133,980,41.5,43.0
"2011","Stockton-on-Tees","E06000004","Total",191610,12322,6824,4149,11457,2355,5168,5296,12651,12602,37535,39652,11648,16102,10368,2429,1052,39.1,39.0
"2011","Gateshead","E08000037","Total",200214,11869,6323,3987,10880,2439,4778,4953,12104,14059,40466,40515,12596,18608,12412,2897,1328,40.5,40.0
"2011","Newcastle upon Tyne","E08000021","Total",280177,16522,8534,5501,14488,2929,6156,13311,36012,22948,51972,48952,14133,19380,13857,3578,1904,36.9,33.0
"2011","North Tyneside","E08000022","Total",200801,11732,6577,4076,10921,2407,4631,4421,10908,12411,41644,42719,13059,18096,12487,3155,1557,40.9,41.0
"2011","South Tyneside","E08000023","Total",148127,8182,4619,2932,8233,1961,3735,3797,9447,8901,27436,32394,9637,13634,9632,2503,1084,41.2,42.0
"2011","Sunderland","E08000024","Total",275506,15378,8599,5534,15355,3326,6753,7708,19709,16945,52854,58541,18011,25031,16600,3576,1586,40.4,41.0
"2011","Blackburn with Darwen","E06000008","Total",147489,11278,6386,4092,10322,2289,4278,3651,9718,10951,30862,26717,7884,10356,6360,1547,798,36.2,35.0
"2011","Blackpool","E06000009","Total",142065,8218,4652,2784,8052,1660,3487,3501,8529,8580,26854,29094,9415,14353,9148,2431,1307,41.3,42.0
"2011","Cheshire East","E06000049","Total",370127,20194,12057,7687,21383,4432,9249,8398,18615,19020,72047,79230,26443,37951,23733,6347,3341,42.0,43.0
"2011","Cheshire West and Chester","E06000050","Total",329608,18050,10742,6701,18737,3905,7904,8296,19511,18796,64058,69122,22686,32782,20387,5215,2716,41.3,42.0
"2011","Halton","E06000006","Total",125746,8354,4563,2820,7577,1613,3339,3130,8024,8141,25004,26192,8508,10370,6132,1349,630,38.9,39.0
"2011","Warrington","E06000007","Total",202228,12309,7003,4552,12296,2591,5259,4657,12088,12503,42327,41988,12441,18198,10294,2498,1224,39.5,40.0
"2011","Cumbria","E10000006","Total",499858,25248,15051,9706,27449,6045,12376,11425,25674,26289,91309,108375,38022,55410,34201,8745,4533,42.9,44.0
"2011","Bolton","E08000001","Total",276786,18765,10383,6495,17793,3640,7483,6799,18071,18285,56720,52967,16845,23553,13659,3652,1676,38.4,38.0
"2011","Bury","E08000002","Total",185060,12235,6875,4233,11361,2421,4827,4297,10688,11622,37977,37272,11712,16292,9623,2397,1228,39.2,40.0
"2011","Manchester","E08000003","Total",503127,36413,18059,10558,26785,5603,10734,21965,66998,56595,111440,72197,18236,24767,16404,4226,2147,33.2,29.0
"2011","Oldham","E08000004","Total",224897,16491,9353,6069,15337,3209,6098,5749,14586,15177,44945,42055,12875,18280,10465,2760,1448,37.4,37.0
"2011","Rochdale","E08000005","Total",211699,14754,8177,4971,13925,2956,5989,5480,14005,14111,42914,41147,12454,16642,10367,2632,1175,37.9,38.0
"2011","Salford","E08000006","Total",233933,16255,8146,4865,12969,2918,5543,6642,19537,20989,48801,41704,12358,17543,11144,3012,1507,37.4,35.0
"2011","Stockport","E08000007","Total",283275,17342,9772,6036,16759,3544,7169,6162,15184,15896,57069,59052,18263,26515,17762,4441,2309,40.8,41.0
"2011","Tameside","E08000008","Total",219324,14439,7727,4728,13029,2785,5787,5415,13744,14320,44882,44400,13867,19044,10977,2822,1358,39.1,39.0
"2011","Trafford","E08000009","Total",226578,14870,8531,5501,14076,2846,5907,4773,11776,13764,49221,46226,12814,18325,12899,3371,1678,39.3,39.0
"2011","Wigan","E08000010","Total",317849,19681,11178,6866,18270,4029,8064,7477,19310,20174,66112,63840,21199,30319,15930,3682,1718,39.6,40.0
"2011","Lancashire","E10000017","Total",1171339,68591,38980,24585,67883,14344,29186,33352,78594,68819,221875,235357,78580,113367,70377,18380,9069,40.5,41.0
"2011","Knowsley","E08000011","Total",145893,9121,5107,3205,9200,2035,4120,3968,9846,9229,27369,31470,8209,11944,8706,1688,676,39.1,40.0
