"date","geography","geography code","Rural Urban","Age: All categories: Age; measures: Value","Age: Age under 1; measures: Value","Age: Age 1; measures: Value","Age: Age 2; measures: Value","Age: Age 3; measures: Value","Age: Age 4; measures: Value","Age: Age 5; measures: Value","Age: Age 6; measures: Value","Age: Age 7; measures: Value","Age: Age 8; measures: Value","Age: Age 9; measures: Value","Age: Age 10; measures: Value","Age: Age 11; measures: Value","Age: Age 12; measures: Value","Age: Age 13; measures: Value","Age: Age 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16; measures: Value","Age: Age 17; measures: Value","Age: Age 18; measures: Value","Age: Age 19; measures: Value","Age: Age 20; measures: Value","Age: Age 21; measures: Value","Age: Age 22; measures: Value","Age: Age 23; measures: Value","Age: Age 24; measures: Value","Age: Age 25; measures: Value","Age: Age 26; measures: Value","Age: Age 27; measures: Value","Age: Age 28; measures: Value","Age: Age 29; measures: Value","Age: Age 30; measures: Value","Age: Age 31; measures: Value","Age: Age 32; measures: Value","Age: Age 33; measures: Value","Age: Age 34; measures: Value","Age: Age 35; measures: Value","Age: Age 36; measures: Value","Age: Age 37; measures: Value","Age: Age 38; measures: Value","Age: Age 39; measures: Value","Age: Age 40; measures: Value","Age: Age 41; measures: Value","Age: Age 42; measures: Value","Age: Age 43; measures: Value","Age: Age 44; measures: Value","Age: Age 45; measures: Value","Age: Age 46; measures: Value","Age: Age 47; measures: Value","Age: Age 48; measures: Value","Age: Age 49; measures: Value","Age: Age 50; measures: Value","Age: Age 51; measures: Value","Age: Age 52; measures: Value","Age: Age 53; measures: Value","Age: Age 54; measures: Value","Age: Age 55; measures: Value","Age: Age 56; measures: Value","Age: Age 57; measures: Value","Age: Age 58; measures: Value","Age: Age 59; measures: Value","Age: Age 60; measures: Value","Age: Age 61; measures: Value","Age: Age 62; measures: Value","Age: Age 63; measures: Value","Age: Age 64; measures: Value","Age: Age 65; measures: Value","Age: Age 66; measures: Value","Age: Age 67; measures: Value","Age: Age 68; measures: Value","Age: Age 69; measures: Value","Age: Age 70; measures: Value","Age: Age 71; measures: Value","Age: Age 72; measures: Value","Age: Age 73; measures: Value","Age: Age 74; measures: Value","Age: Age 75; measures: Value","Age: Age 76; measures: Value","Age: Age 77; measures: Value","Age: Age 78; measures: Value","Age: Age 79; measures: Value","Age: Age 80; measures: Value","Age: Age 81; measures: Value","Age: Age 82; measures: Value","Age: Age 83; measures: Value","Age: Age 84; measures: Value","Age: Age 85; measures: Value","Age: Age 86; measures: Value","Age: Age 87; measures: Value","Age: Age 88; measures: Value","Age: Age 89; measures: Value","Age: Age 90; measures: Value","Age: Age 91; measures: Value","Age: Age 92; measures: Value","Age: Age 93; measures: Value","Age: Age 94; measures: Value","Age: Age 95; measures: Value","Age: Age 96; measures: Value","Age: Age 97; measures: Value","Age: Age 98; measures: Value","Age: Age 99; measures: Value","Age: Age 100 and over; measures: Value"
"2011","Darlington","E06000005","Total",105564,1344,1371,1302,1297,1265,1289,1271,1230,1215,1069,1147,1236,1286,1292,1263,1330,1346,1375,1224,1133,1198,1101,1154,1307,1311,1323,1356,1316,1277,1335,1328,1338,1334,1205,1224,1231,1310,1371,1392,1543,1516,1536,1460,1464,1665,1630,1613,1615,1601,1535,1581,1424,1461,1457,1335,1318,1176,1337,1253,1224,1231,1267,1339,1422,1426,1173,1180,1038,930,884,901,929,961,875,846,770,766,729,669,592,598,575,516,470,487,441,389,318,289,303,206,148,104,91,69,50,34,26,32,22,28
"2011","County Durham","E06000047","Total",513242,5884,5645,5602,5826,5617,5366,5325,5127,4947,4894,5176,5421,5650,5827,5795,5882,5947,6160,6979,8299,8453,7688,6788,6352,5874,6367,6064,5968,6108,6121,6055,6136,5621,5149,5172,5518,5628,5888,6505,6959,7423,7151,7584,7587,7774,8016,8056,8030,7695,7740,7315,7076,7287,7133,6902,6753,6630,6495,6526,6546,6594,6864,6947,7434,7556,5953,6273,5680,5207,4761,4652,4696,4694,4564,4403,3979,3878,3503,3449,3041,3125,2771,2544,2186,2159,1975,1616,1430,1165,1135,954,709,461,331,262,215,187,144,87,76,80
"2011","Hartlepool","E06000001","Total",92028,1097,1176,1155,1159,1111,1150,1051,1001,991,999,1060,1131,1153,1098,1211,1257,1263,1307,1241,1210,1174,1096,1166,1243,1276,1156,1098,1159,1093,1116,1075,1081,996,939,942,977,949,1094,1125,1228,1270,1276,1274,1300,1343,1467,1436,1468,1433,1463,1367,1313,1309,1248,1227,1158,1095,1091,1138,1113,1087,1142,1173,1223,1212,936,936,800,796,768,727,772,845,792,802,738,692,645,677,575,568,498,428,365,382,358,289,229,221,226,163,127,63,51,34,29,15,16,15,6,14
"2011","Middlesbrough","E06000002","Total",138412,1979,1965,1797,1863,1827,1835,1703,1640,1553,1545,1652,1652,1643,1755,1783,1811,1850,1897,2114,2392,2495,2399,2352,2352,2092,2151,2035,1990,1842,1747,1879,1763,1668,1516,1469,1584,1566,1599,1614,1772,1834,1732,1756,1792,1870,1954,2076,1924,1960,1985,1914,1812,1842,1884,1781,1623,1646,1604,1546,1514,1452,1454,1459,1576,1590,1200,1204,1097,1103,1076,1030,1023,1058,1058,984,963,873,856,797,789,765,718,585,525,522,413,388,334,254,269,213,183,103,90,56,40,46,30,19,12,15
"2011","Northumberland","E06000057","Total",316028,3148,3150,3205,3325,3175,3336,3207,3320,3142,3340,3238,3541,3620,3591,3687,3841,3773,3858,3649,3343,3146,3093,3318,3440,3227,3405,3375,3095,3088,3224,3288,3471,3275,2997,3090,3196,3369,3483,3726,4133,4457,4137,4368,4527,4639,4826,5076,4988,4938,5014,4865,4880,4921,4839,4616,4486,4342,4541,4319,4484,4558,4637,4770,5364,5204,4068,4267,3958,3649,3120,3103,3167,3128,3001,2905,2664,2631,2396,2340,2218,2102,1861,1756,1519,1531,1301,1235,1050,870,777,729,517,377,231,242,183,140,72,62,53,81
"2011","Redcar and Cleveland","E06000003","Total",135177,1575,1478,1483,1481,1536,1560,1462,1340,1304,1432,1394,1584,1556,1546,1723,1712,1778,1830,1775,1740,1558,1539,1668,1672,1655,1664,1536,1499,1392,1537,1556,1482,1342,1317,1290,1360,1417,1437,1650,1790,1821,1812,1863,1890,2093,2119,1988,2134,2076,2081,1915,1922,1922,1889,1781,1709,1667,1732,1682,1668,1698,1816,1852,2067,2078,1660,1716,1543,1460,1397,1347,1389,1408,1300,1198,1169,1030,956,986,876,895,828,734,651,596,522,480,440,383,308,266,193,140,97,73,68,54,30,22,17,20
"2011","Stockton-on-Tees","E06000004","Total",191610,2477,2485,2482,2435,2443,2388,2204,2232,2085,2064,2141,2273,2319,2287,2437,2355,2445,2723,2686,2610,2551,2485,2476,2595,2544,2554,2643,2410,2495,2500,2491,2455,2307,2090,2102,2241,2251,2324,2440,2747,2793,2755,2759,2875,2905,2876,2918,2934,3017,2899,2789,2704,2657,2638,2611,2392,2345,2390,2272,2210,2216,2214,2303,2500,2415,1815,1959,1753,1616,1602,1443,1513,1606,1416,1379,1408,1216,1192,1168,1105,1158,931,814,711,665,594,544,515,392,384,307,211,136,125,73,62,48,30,27,19,14
"2011","Gateshead","E08000037","Total",200214,2530,2400,2395,2169,2375,2214,2093,2016,1936,2051,2023,2092,2161,2271,2333,2439,2342,2436,2501,2452,2264,2211,2429,2567,2633,2855,2752,2914,2871,2667,2870,2858,2610,2384,2388,2459,2393,2502,2551,2975,2849,2840,2864,2917,3006,3032,2979,3024,3038,2980,2859,2789,2746,2783,2613,2424,2411,2323,2292,2222,2284,2409,2513,2723,2667,2049,2178,1945,1789,1685,1743,1849,1861,1820,1689,1563,1526,1448,1416,1340,1315,1074,1000,860,870,805,678,490,485,439,350,292,192,118,110,84,63,49,27,17,26
"2011","Newcastle upon Tyne","E08000021","Total",280177,3539,3454,3204,3281,3044,3019,2792,2723,2700,2801,2833,2843,2771,2963,3078,2929,3100,3056,4977,8334,9403,8365,6971,6019,5254,5158,4696,4542,4350,4202,4091,3985,3590,3246,3141,3355,3330,3238,3267,3507,3563,3350,3477,3379,3453,3601,3587,3582,3584,3602,3372,3455,3356,3287,3159,3090,2885,2925,2779,2688,2671,2833,2765,2863,3001,2206,2274,2093,1949,1767,1726,1844,1950,1858,1713,1747,1629,1523,1480,1478,1419,1257,1226,1062,1036,910,780,662,663,563,513,384,248,167,168,138,84,78,39,36,49
"2011","North Tyneside","E08000022","Total",200801,2378,2356,2367,2353,2278,2346,2132,2099,2062,2014,2090,2135,2112,2282,2302,2407,2222,2409,2304,2117,2059,1989,2188,2290,2382,2409,2467,2384,2553,2598,2878,2960,2731,2335,2422,2515,2612,2596,2796,2986,2994,2964,2928,2881,3046,3059,3272,3256,3195,2984,2849,2841,2858,2909,2723,2547,2593,2638,2528,2467,2363,2545,2562,2780,2809,2161,2252,1923,1806,1562,1645,1730,1697,1740,1580,1518,1429,1432,1395,1350,1246,1161,1114,982,860,817,709,583,553,493,417,329,218,165,118,91,54,58,33,25,49
