"date","geography","geography code","Rural Urban","Economic Activity: All categories: Economic activity; measures: Value","Economic Activity: Economically active: Total; measures: Value","Economic Activity: Economically active: Employee: Part-time; measures: Value","Economic Activity: Economically active: Employee: Full-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Full-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Full-time; measures: Value","Economic Activity: Economically active: Unemployed; measures: Value","Economic Activity: Economically active: Full-time student; measures: Value","Economic Activity: Economically inactive: Total; measures: Value","Economic Activity: Economically inactive: Retired; measures: Value","Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Economic Activity: Economically inactive: Looking after home or family; measures: Value","Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Economic Activity: Economically inactive: Other; measures: Value"
"2011","Darlington","E06000005","Total",76635,53443,11555,30337,234,1254,1289,2818,4002,1954,23192,12214,2742,3081,3737,1418
"2011","County Durham","E06000047","Total",383796,247101,50595,143922,1052,5717,5799,12741,17013,10262,136695,65444,23837,14190,24887,8337
"2011","Hartlepool","E06000001","Total",66804,43513,10092,22635,212,846,892,1855,5194,1787,23291,10621,3042,3265,4733,1630
"2011","Middlesbrough","E06000002","Total",100551,63582,15063,31301,300,1068,1331,2472,7631,4416,36969,13922,7453,5569,6841,3184
"2011","Northumberland","E06000057","Total",233224,158268,34368,86380,993,5351,5151,10568,10329,5128,74956,43897,8108,8368,10321,4262
"2011","Redcar and Cleveland","E06000003","Total",99177,63530,15322,33372,285,1235,1436,2908,6533,2439,35647,19206,4142,4361,5869,2069
"2011","Stockton-on-Tees","E06000004","Total",140654,96259,22070,52927,410,2017,2119,4395,8075,4246,44395,20767,7277,5911,6861,3579
"2011","Gateshead","E08000037","Total",148079,100184,21023,58988,351,1887,2059,4509,7419,3948,47895,23531,6832,5670,8844,3018
"2011","Newcastle upon Tyne","E08000021","Total",212864,133848,25835,69811,675,3017,3204,6236,10652,14418,79016,24571,29253,8868,11509,4815
"2011","North Tyneside","E08000022","Total",147889,104242,21815,61349,354,2074,2274,4933,7304,4139,43647,23497,5310,5048,7354,2438
"2011","South Tyneside","E08000023","Total",108981,72645,15480,40838,289,1379,1287,2993,7145,3234,36336,17355,4611,4696,7234,2440
"2011","Sunderland","E08000024","Total",205552,135467,29186,75899,586,2529,2788,5574,12016,6889,70085,32215,10778,8666,14084,4342
"2011","Blackburn with Darwen","E06000008","Total",104417,67033,14535,35597,520,1703,2050,3724,5575,3329,37384,13248,6065,7061,7378,3632
"2011","Blackpool","E06000009","Total",103813,68540,14836,34230,349,1646,2415,5550,6337,3177,35273,16807,3809,3943,8228,2486
"2011","Cheshire East","E06000049","Total",270953,191253,38940,106863,1205,6533,7713,13605,8742,7652,79700,46446,11341,9591,8327,3995
"2011","Cheshire West and Chester","E06000050","Total",243155,170778,36206,95642,887,4729,5711,10529,8949,8125,72377,39893,10746,8620,9574,3544
"2011","Halton","E06000006","Total",92708,63411,13102,37219,194,1056,1230,2940,5151,2519,29297,13332,3858,3900,6451,1756
"2011","Warrington","E06000007","Total",149461,107765,21782,63875,472,2389,2886,5870,5961,4530,41696,22189,5441,4917,6063,3086
