,geography,geography code,Rural Urban,Cars: No cars or vans in household; measures: Value,Cars: 1 car or van in household; measures: Value,"Cars: (2, 3, 4) car or van in household; measures: Value",Young 0-19,Working-age 20-64,Retired-age 65-90,Distance travelled to work: Work mainly at or from home; measures: Value,Distance < 10 km,10 km < Distance < 30 km,30 km < Distanc < 60 km,Unemployed,Economically active,Economically Inactive
0,Darlington,E06000005,Total,13052,20682,12936,25285,61840,18439,4180,28175,9962,3529,4002,49441,23192
1,County Durham,E06000047,Total,60926,96086,66791,115369,305528,92345,20652,106475,71001,14772,17013,230088,136695
2,Hartlepool,E06000001,Total,14268,16573,9593,22821,53609,15598,2473,22415,7391,2324,5194,38319,23291
3,Middlesbrough,E06000002,Total,21488,22963,12752,36256,81465,20691,3337,37606,5418,3223,7631,55951,36969
4,Northumberland,E06000057,Total,30543,60875,47116,68489,184235,63304,17894,60003,43224,15421,10329,147939,74956
5,Redcar and Cleveland,E06000003,Total,16935,25367,17303,31289,77636,26252,4034,28687,14532,3894,6533,56997,35647
6,Stockton-on-Tees,E06000004,Total,20524,32728,25907,47571,114088,29951,6376,54029,13972,5789,8075,88184,44395
7,Gateshead,E08000037,Total,32551,37214,19389,45229,119740,35245,6383,59618,16842,3415,7419,92765,47895
8,Newcastle upon Tyne,E08000021,Total,48853,45938,22362,67441,174017,38719,8430,82584,14085,5602,10652,123196,79016
9,North Tyneside,E08000022,Total,28865,40879,21551,44765,120741,35295,6997,59772,18653,3912,7304,96938,43647
10,South Tyneside,E08000023,Total,25830,27639,13698,33459,87815,26853,3875,40974,11394,2789,7145,65500,36336
11,Sunderland,E08000024,Total,42094,49564,28100,62653,166060,46793,7705,78300,21953,5210,12016,123451,70085
12,Blackburn with Darwen,E06000008,Total,17502,25110,14741,42296,86132,19061,4930,36463,11405,3610,5575,61458,37384
13,Blackpool,E06000009,Total,23635,27493,13239,32354,82472,27239,6173,41591,5821,2851,6337,62203,35273
14,Cheshire East,E06000049,Total,25709,65543,68189,83400,215355,71372,23337,84021,44665,16593,8742,182511,79700
15,Cheshire West and Chester,E06000050,Total,26297,58893,56252,74335,194173,61100,17178,75679,40938,15359,8949,161829,72377
16,Halton,E06000006,Total,14380,22923,16009,31396,75869,18481,3696,33895,12303,4005,5151,58260,29297
17,Warrington,E06000007,Total,16409,35587,33144,48667,121347,32214,9336,55646,22777,6502,5961,101804,41696
18,Cumbria,E10000006,Total,47578,99389,75075,107300,289669,102889,31176,126352,48376,20911,12346,244809,111725
19,Bolton,E08000001,Total,32948,50068,33355,71358,162888,42540,10086,71071,27870,5386,9913,125020,65790
20,Bury,E08000002,Total,18683,34373,25057,46249,109271,29540,7689,50568,19372,4115,5769,88911,40007
21,Manchester,E08000003,Total,91248,83276,30445,130117,325466,47544,15288,144620,24417,11739,21880,221344,139708
22,Oldham,E08000004,Total,27954,38521,23228,62306,129638,32953,7349,60537,16474,4669,8661,97737,53367
23,Rochdale,E08000005,Total,27460,36830,23262,56252,124631,30816,7076,54872,17274,4441,9047,91956,51739
24,Salford,E08000006,Total,38178,43884,21494,57338,143389,33206,7987,68197,17596,5308,9041,109089,54987
25,Stockport,E08000007,Total,26781,52372,42826,66784,165464,51027,13362,80361,26846,6508,8002,138294,59014
26,Tameside,E08000008,Total,28132,41793,25028,53910,131213,34201,7651,63426,18834,4611,8052,102964,50443
27,Trafford,E08000009,Total,20485,40855,33144,56504,133801,36273,11166,66070,20551,5514,6136,111928,44742
28,Wigan,E08000010,Total,33606,59544,43236,75565,190635,51649,10864,82566,36998,7851,11483,151298,73714
29,Lancashire,E10000017,Total,113467,215777,167055,276921,683225,211193,53842,303907,107537,41445,32261,552929,273940
30,Knowsley,E08000011,Total,22739,25044,13540,36756,86123,23014,3531,36632,13174,3455,6926,62691,36538
31,Liverpool,E08000012,Total,95281,78775,32459,107240,293709,65466,12180,134888,22552,11503,23980,202290,130606
32,Sefton,E08000014,Total,33592,50995,33343,60683,156096,57011,10137,65262,29090,7910,9708,123304,65185
33,St. Helens,E08000013,Total,20212,32283,23241,40711,103197,31400,5347,45001,17939,5093,6640,79481,43463
34,Wirral,E08000015,Total,39391,60656,40536,75059,183758,60966,11602,83987,25332,8645,11939,141301,77611
35,East Riding of Yorkshire,E06000011,Total,25200,62802,55030,72051,190673,71455,18942,68688,41586,17665,8795,160065,76734
36,"Kingston upon Hull, City of",E06000010,Total,45748,47612,19236,62692,157983,35731,5676,84027,7719,5809,15296,112834,62480
37,North East Lincolnshire,E06000012,Total,21481,30338,17888,38506,92823,28287,4574,47964,7867,4670,7486,71741,36596
38,North Lincolnshire,E06000013,Total,14617,30714,25353,39364,98043,30039,6841,41037,17038,7909,5869,78799,37661
39,York,E06000014,Total,21808,38999,22745,43834,120802,33415,9297,61660,10446,10987,4582,100363,44844
40,North Yorkshire,E10000023,Total,45716,110448,100430,132358,342819,123199,45617,130612,68031,32619,13274,300826,122706
41,Barnsley,E08000016,Total,27108,43197,30429,54287,136924,40010,7945,54317,26969,6047,8738,104568,57099
42,Doncaster,E08000017,Total,35102,54987,36398,72636,178625,51141,11055,72519,27557,11893,12697,135073,73107
43,Rotherham,E08000018,Total,28756,45191,34346,62264,150174,44842,8748,64490,25037,7699,9821,116078,62060
44,Sheffield,E08000019,Total,75968,97721,56239,136816,330184,85698,18553,159356,28680,18494,19626,250613,140765
45,Bradford,E08000032,Total,60799,85678,52819,150285,302775,69392,19312,131181,43727,9334,21224,222503,122490
46,Calderdale,E08000033,Total,24219,38305,26097,50080,121274,32472,9506,57433,18145,4874,7394,97499,43873
47,Kirklees,E08000034,Total,45875,74194,53456,108082,250226,64150,17716,109044,42411,10012,14465,195049,97680
48,Leeds,E08000035,Total,102787,133414,84395,181427,460460,109598,29647,219965,63007,18103,26786,363143,170920
49,Wakefield,E08000036,Total,37719,60622,42073,75981,194714,55142,11373,81118,41073,7927,11702,153066,76229
50,Derby,E06000015,Total,29593,44344,28334,64311,146772,37669,7829,72298,17509,7429,9297,114394,55600
51,Leicester,E06000016,Total,45375,51864,25886,89729,202894,37216,9392,97991,11900,9320,14982,141443,85807
52,Nottingham,E06000018,Total,55093,50614,20424,79307,190821,35552,8856,83604,12496,8900,14775,127552,89745
53,Rutland,E06000017,Total,1859,6152,6991,8951,20569,7849,3011,7279,3930,2549,643,18115,8294
54,Derbyshire,E10000007,Total,66832,141123,124682,174116,452679,142891,38575,182884,94675,28394,22206,374847,170745
55,Leicestershire,E10000018,Total,40821,110471,116142,152599,382453,115437,35597,158720,80617,26638,14534,327605,137323
56,Lincolnshire,E10000019,Total,55407,137635,113929,156831,408971,147851,39084,154288,78348,36179,20035,337617,166545
57,Northamptonshire,E10000021,Total,54332,118068,115330,171736,414180,106036,35917,173825,77040,36164,20078,352642,133454
58,Nottinghamshire,E10000024,Total,69687,144941,119675,180610,462745,142447,37512,196267,84323,30306,22745,378520,176989
59,"Herefordshire, County of",E06000019,Total,12826,32556,32937,39938,104523,39016,15123,41137,17756,8033,4353,90761,38328
60,Shropshire,E06000051,Total,20483,54671,54520,68196,174634,63299,22808,62745,36839,16403,7350,151633,64909
61,Stoke-on-Trent,E06000021,Total,33225,47582,26768,61576,148614,38818,6933,73590,13515,6573,9715,110028,63065
62,Telford and Wrekin,E06000020,Total,13748,28700,24160,43441,99111,24089,6331,47174,12403,7476,5806,79141,37332
63,Staffordshire,E10000028,Total,63893,146504,144866,192598,499037,156854,42861,198791,107191,33248,22661,416521,190176
64,Warwickshire,E10000031,Total,40619,94540,95846,124296,321907,99271,31389,128619,68432,24531,13910,274433,113287
65,Birmingham,E08000025,Total,147112,169909,93715,310198,624634,138213,32837,267641,65663,22636,54114,434107,272031
66,Coventry,E08000026,Total,41361,54083,33148,82951,187759,46250,10043,87201,22034,8711,12532,141213,78126
67,Dudley,E08000027,Total,29896,54662,45309,75203,179525,58197,10956,89579,25081,6098,12064,143466,71196
68,Sandwell,E08000028,Total,41197,51922,28379,82416,178806,46841,7840,88717,16911,6005,16049,130604,72855
69,Solihull,E08000029,Total,16992,33983,35081,49783,117295,39596,9989,51637,23697,5596,6304,98804,43252
70,Walsall,E08000030,Total,31044,45181,31597,70277,153231,45815,8150,68273,22227,5270,13006,113799,65169
71,Wolverhampton,E08000031,Total,34370,42007,25800,62952,145889,40629,7229,65667,18675,5229,14127,106275,59581
72,Worcestershire,E10000034,Total,39855,96498,103364,128106,328976,109087,33522,130048,68894,24581,15424,280659,118953
73,Bedford,E06000055,Total,13137,26678,23997,39880,92731,24868,7921,38495,14668,8847,5060,76722,31982
74,Central Bedfordshire,E06000056,Total,13820,41842,48737,61791,152701,39889,14781,47175,38851,19411,6443,133082,47133
75,Luton,E06000032,Total,20389,32923,20981,57585,121735,23881,6171,47835,15763,10607,8337,91935,44936
76,Peterborough,E06000031,Total,18412,33372,22239,48175,110578,24878,7158,55514,9667,9079,6691,88955,36672
77,Southend-on-Sea,E06000033,Total,20383,33268,21027,41089,101771,30798,7434,43189,8259,14873,6209,82115,36683
78,Thurrock,E06000034,Total,12527,27384,22442,42038,95646,20021,5186,31861,23558,8970,6190,78274,29660
79,Cambridgeshire,E10000003,Total,43588,106212,101441,144785,376196,100229,37431,139500,79265,36434,13775,318420,129185
80,Essex,E10000012,Total,104522,244783,232284,328169,809985,255433,70620,276908,155042,107024,38074,681356,292181
81,Hertfordshire,E10000015,Total,76823,191349,185645,278307,663840,173915,62439,237209,144155,70294,28301,570137,207775
82,Norfolk,E10000020,Total,70096,166827,135162,185178,487479,185231,45406,188399,90805,37859,23678,401054,199066
83,Suffolk,E10000029,Total,55661,135039,120045,166934,416190,145039,40342,167007,78952,35958,18873,354409,152181
84,Camden,E09000007,Total,59595,30991,6948,46183,150178,23977,14366,74719,8183,2523,7755,110642,55436
85,City of London,E09000001,Total,3043,1100,242,784,5556,1035,687,3487,168,123,187,4785,1335
86,Hackney,E09000012,Total,65721,31157,4812,61797,167078,17395,11963,80864,10453,2506,13207,120676,53540
87,Hammersmith and Fulham,E09000013,Total,44524,29496,6570,35996,130084,16413,10416,66954,11432,2316,7060,100694,37798
88,Haringey,E09000014,Total,52851,38911,10193,63374,169183,22369,12465,70887,21386,2837,11730,126459,54873
89,Islington,E09000019,Total,60485,28507,4564,41790,146299,18036,10122,77817,7298,2494,8960,108528,47661
90,Kensington and Chelsea,E09000020,Total,43982,26866,7688,29720,109814,19115,13510,53441,6150,1798,5433,82084,38563
91,Lambeth,E09000022,Total,75214,45077,9726,65889,214010,23187,13862,111360,20067,4331,14255,168935,54540
92,Lewisham,E09000023,Total,55893,46991,13207,70064,179686,26135,11413,75118,31232,3661,12776,139017,54462
93,Newham,E09000025,Total,52849,38531,10139,86216,201175,20593,8945,61924,35401,4572,15734,138027,75197
94,Southwark,E09000028,Total,70312,41622,8488,66364,199590,22329,12303,103313,12974,4083,13484,150375,60692
95,Tower Hamlets,E09000030,Total,63797,32329,5131,62106,176420,15570,9046,86758,10823,3592,13259,123974,59319
96,Wandsworth,E09000032,Total,59143,56409,14941,61168,218916,26911,16635,108991,33581,4969,9311,180478,53744
97,Westminster,E09000033,Total,66531,31869,7372,41005,153877,24514,15542,76504,7303,3201,7941,112477,55087
98,Barking and Dagenham,E09000002,Total,27618,30183,11880,58349,108241,19321,4740,32643,24425,3010,9367,77037,41164
99,Barnet,E09000003,Total,39024,59992,36900,90464,218490,47432,20968,73997,51213,4255,11476,173007,73960
100,Bexley,E09000004,Total,21918,42054,28632,60043,134742,37212,8560,46606,38864,4003,7245,111619,47050
101,Brent,E09000005,Total,47419,43598,19269,77625,200914,32676,12856,79835,29615,3557,13535,150456,69735
102,Bromley,E09000006,Total,30723,59613,40526,74680,182675,52037,15799,56377,59754,4957,8668,152614,61257
103,Croydon,E09000008,Total,48523,63183,33304,97764,221239,44375,15619,77240,56669,6134,14512,175796,72740
104,Ealing,E09000009,Total,43847,54846,25389,83527,218695,36227,15002,79744,44646,4680,13158,167457,72149
105,Enfield,E09000010,Total,38933,51872,29111,86259,187374,38833,12362,61038,44899,3943,13192,140142,70690
106,Greenwich,E09000011,Total,42455,43058,15532,68315,160126,26116,9610,54128,36176,4019,11518,120555,54649
107,Harrow,E09000015,Total,19811,37013,27444,60031,145358,33667,11574,48243,37761,3581,7854,115453,51444
108,Havering,E09000016,Total,22364,42968,31867,56614,138341,42277,8705,46094,40637,4609,7627,114015,49486
109,Hillingdon,E09000017,Total,22716,43942,33556,72529,166229,35178,11229,66662,34715,5190,8693,132849,58384
110,Hounslow,E09000018,Total,29985,42744,22173,63246,163852,26859,11139,67939,30431,4008,8815,129052,52290
111,Kingston upon Thames,E09000021,Total,15997,30084,17558,38335,101367,20358,8942,36215,26790,2843,3850,83498,32325
112,Merton,E09000024,Total,25644,37557,15556,47120,129451,23122,9455,44591,36426,2931,6072,105966,37560
113,Redbridge,E09000026,Total,27697,44548,26860,77106,168479,33385,11029,48979,46038,4291,10590,127186,61768
114,Richmond upon Thames,E09000027,Total,19751,40079,20005,44057,117637,25296,13870,40493,33066,3754,4153,99937,33689
115,Sutton,E09000029,Total,18303,36110,23761,47005,115908,27233,8738,48471,27477,2757,5429,98566,34715
116,Waltham Forest,E09000031,Total,40583,40732,15546,67303,165380,25566,9193,55735,34369,3159,11654,123361,55963
117,Bracknell Forest,E06000036,Total,6275,17818,21785,29085,69973,14147,6875,28231,16447,5155,2808,62329,17979
118,Brighton and Hove,E06000043,Total,46415,51727,23398,59757,177920,35692,17356,75812,13728,19658,7818,143035,59939
119,Isle of Wight,E06000046,Total,13761,28314,19010,29112,76199,32954,7280,32495,11083,2913,4386,59832,35529
120,Medway,E06000035,Total,23231,45163,37815,68987,157933,37005,9922,58827,23488,21519,9469,128485,56204
121,Milton Keynes,E06000042,Total,18656,42633,37295,66901,154409,27511,12488,76224,14929,14367,8640,129077,43668
122,Portsmouth,E06000044,Total,28533,37396,19544,51462,126182,27412,7092,62572,10633,7048,6536,99298,47871
123,Reading,E06000038,Total,17819,28235,16815,38270,99596,17832,6999,45466,12354,8660,5329,81000,30479
124,Slough,E06000039,Total,11885,22404,16477,40379,87002,12824,4977,36452,14255,4939,5440,68379,26639
125,Southampton,E06000045,Total,28996,43938,25320,56751,149355,30776,7767,73748,12538,8308,7631,115562,57008
126,West Berkshire,E06000037,Total,7759,24042,30539,38629,91567,23626,10689,37004,17189,9948,3279,82122,26653
127,Windsor and Maidenhead,E06000040,Total,7782,23443,27124,35155,85328,24077,10898,31572,17168,8522,3292,74358,26597
128,Wokingham,E06000041,Total,5422,22202,32708,38809,91782,23789,10842,38360,17129,8809,2958,81954,27361
129,Buckinghamshire,E10000002,Total,25261,75300,100166,126491,294641,84151,35976,98600,60917,36564,10887,256994,95892
130,East Sussex,E10000011,Total,50674,100340,80891,116345,290563,119763,33195,105260,47637,28309,13503,241449,119566
131,Hampshire,E10000014,Total,80005,220861,244388,309462,764954,243372,76931,316149,144493,70511,28508,670889,255578
132,Kent,E10000016,Total,121094,258442,226102,360605,840829,262306,76873,298336,151586,96674,41541,696367,317489
133,Oxfordshire,E10000025,Total,45340,107358,106157,156898,393158,103742,41725,158976,72974,35079,13103,337016,132119
134,Surrey,E10000030,Total,59865,184249,211677,272389,665535,194466,76453,242647,145287,59394,22772,579019,215481
135,West Sussex,E10000032,Total,61657,150046,133911,181365,458952,166575,48246,182532,80335,48309,18331,397788,161105
136,Bath and North East Somerset,E06000022,Total,16158,31073,26284,40788,103411,31817,10624,42437,20100,4741,3548,86204,40798
137,Bournemouth,E06000028,Total,21333,36807,24234,37925,113255,32311,9111,58129,7049,6747,5262,90755,41557
138,"Bristol, City of",E06000023,Total,52814,82483,47450,101214,271148,55872,17841,144639,18782,11775,13817,213302,94387
139,Cornwall,E06000052,Total,39937,102864,87588,115211,301821,115241,38596,108905,53915,18802,12694,246790,129374
140,Isles of Scilly,E06000053,Total,492,355,142,380,1317,506,428,658,0,113,18,1313,291
141,North Somerset,E06000024,Total,15151,36867,36209,45582,114351,42633,11734,42492,27542,7706,4350,98257,42745
142,Plymouth,E06000026,Total,30438,49904,28965,59732,154937,41715,7898,85903,5913,7879,8136,119606,64044
143,Poole,E06000029,Total,11245,28006,24279,32577,84910,30158,7451,47541,5681,4960,3413,72307,30671
144,South Gloucestershire,E06000025,Total,14044,45398,48096,63990,154368,44409,12787,78073,25719,8880,5354,137844,49270
145,Swindon,E06000030,Total,19060,39031,30269,51213,129089,28854,8849,70446,8611,13367,6518,110521,37041
146,Torbay,E06000027,Total,15063,26678,17269,27628,72477,30854,6853,35736,5542,3575,4275,57520,32205
147,Wiltshire,E06000054,Total,28660,80315,85219,114045,271448,85488,32701,103048,54934,29721,9999,240793,88803
148,Devon,E10000008,Total,56105,142566,123973,159737,418236,168426,56771,162293,77742,25399,15256,356591,169372
